result_id,recorded_date,experiment,deterministic_backbone,probabilistic_module,protocol,split,samples_or_events,ensemble_size,world_size,checkpoint_epoch,CRPS,CSI,CSI_pool4,CSI_pool16,HSS,MAE,MSE,SSIM,status,evidence,notes
R-000,2026/7/17,legacy deterministic baseline,compact_2d_unet,none,legacy-13to12@128,report_test,1466 events,1,,,7.372674,0.28741,,,0.36168,7.372674,,0.632822,completed,artifacts/server30537/metrics_deterministic_baseline.json,Historical legacy baseline; K=1 CRPS equals MAE
R-001,2026/7/17,legacy residual diffusion failure,compact_2d_unet,epsilon_residual_diffusion,legacy-13to12@128,report_test,1466 events,1,,,18.436913,0.000986,,,-0.000229,18.436913,,0.379393,completed,artifacts/server30537/metrics_report_test.json,Historical failure analysis; not comparable to current SDIR/U-DIP protocol
R-002,2026/7/19,deterministic DiffCast-compatible baseline,SDIR,none,5to20@128,test,5600,1,,,,0.242836,,,0.03234,0.004444,,,completed,artifacts/server30537/metrics_deterministic_diffcast_5to20.json,Historical full test; metrics file contains CSI/MAE/MSE only
R-003,2026/7/20,SDIR source full test,SDIR,none,5to20@128,test,5600,1,4,,7.512161,0.259213,,,0.336007,0.029459,0.004698,0.62157,completed,artifacts/server30537/test_metrics_sdir_5to20.json,Historical full test before the current 8-GPU U-DIP comparison
R-004,2026/7/20,B1 v-pred residual diffusion without inference guidance,SDIR,residual_diffusion_vpred,5to20@128,report_test,5600,8,8,35,5.984013,0.294096,0.308822,0.335645,0.380774,0.028922,0.004109,0.702224,completed,artifacts/remote30240/20260723/eval_residual_vpred_b1_formal_report_test_currentbest_noguided_20260721.json,Full report_test; current-best no-guidance checkpoint
R-005,2026/7/20,B1 v-pred residual diffusion with physics guidance,SDIR,residual_diffusion_vpred+physics_guidance,5to20@128,report_test,5600,8,8,45,5.841701,0.290457,0.304809,0.331659,0.37589,0.028072,0.004096,0.729655,completed,artifacts/remote30240/20260723/eval_residual_vpred_b1_formal_epoch45_guided_report_test_20260721.json,Full report_test; guidance improved CRPS/SSIM but reduced CSI
R-006,2026/7/21,PhyDNet deterministic reference,PhyDNet,none,5to20@128,report_test,5600,1,1,70,7.824252,0.269791,0.277409,0.297413,0.347121,0.030683,0.004413,0.70097,completed,artifacts/remote30240/20260723/eval_phydnet_pure_report_test_20260722.json,Full report_test
R-007,2026/7/21,PhyDNet universal probability,PhyDNet,universal_residual_diffusion,5to20@128,report_test,5600,8,4,70,6.387577,0.256778,0.276000,0.311024,0.329385,0.032985,0.00466,0.634814,completed,artifacts/remote30240/20260723/eval_phydnet_universal_report_test_ensemble8_20260722.json,Full report_test; CRPS and CSI_pool16 improved but CSI/HSS/SSIM declined
R-008,2026/7/22,SDIR deterministic full test,SDIR,none,5to20@128,report_test,5600,1,8,160,6.815712,0.304496,0.304929,0.319770,0.396627,0.026728,0.004219,0.748057,completed,remote:/test1/wzq/PhyRD/artifacts/evaluations/sdir_deterministic_test_full.json,Current formal comparison baseline
R-009,2026/7/22,SDIR plus U-DIP full test ensemble 4,SDIR,UDIP,5to20@128,report_test,5600,4,8,160,6.228691,0.291952,0.315490,0.349005,0.380321,0.030573,0.004416,0.654896,completed,remote:/test1/wzq/PhyRD/artifacts/evaluations/udip_test_full_e4_b8.json,Full test; pooled CSI improved but pixel CSI/HSS/SSIM declined
